반복(Epoch): 0, 트레이닝 데이터 정확도: 0.101562, 손실 함수(loss): 164.768478, 테스트 정확도: 0.106000
반복(Epoch): 100, 트레이닝 데이터 정확도: 0.203125, 손실 함수(loss): 2.191726, 테스트 정확도: 0.168000
반복(Epoch): 200, 트레이닝 데이터 정확도: 0.164062, 손실 함수(loss): 2.282018, 테스트 정확도: 0.260000
반복(Epoch): 300, 트레이닝 데이터 정확도: 0.359375, 손실 함수(loss): 1.757731, 테스트 정확도: 0.362000
반복(Epoch): 400, 트레이닝 데이터 정확도: 0.367188, 손실 함수(loss): 1.774973, 테스트 정확도: 0.340000
반복(Epoch): 500, 트레이닝 데이터 정확도: 0.414062, 손실 함수(loss): 1.546705, 테스트 정확도: 0.410000
반복(Epoch): 600, 트레이닝 데이터 정확도: 0.453125, 손실 함수(loss): 1.463071, 테스트 정확도: 0.456000
반복(Epoch): 700, 트레이닝 데이터 정확도: 0.500000, 손실 함수(loss): 1.446892, 테스트 정확도: 0.529000
반복(Epoch): 800, 트레이닝 데이터 정확도: 0.445312, 손실 함수(loss): 1.588760, 테스트 정확도: 0.479000
반복(Epoch): 900, 트레이닝 데이터 정확도: 0.546875, 손실 함수(loss): 1.287586, 테스트 정확도: 0.540000
반복(Epoch): 1000, 트레이닝 데이터 정확도: 0.585938, 손실 함수(loss): 1.145998, 테스트 정확도: 0.504000
반복(Epoch): 1100, 트레이닝 데이터 정확도: 0.500000, 손실 함수(loss): 1.593664, 테스트 정확도: 0.520000
반복(Epoch): 1200, 트레이닝 데이터 정확도: 0.609375, 손실 함수(loss): 1.274580, 테스트 정확도: 0.554000
반복(Epoch): 1300, 트레이닝 데이터 정확도: 0.734375, 손실 함수(loss): 0.895173, 테스트 정확도: 0.585000
반복(Epoch): 1400, 트레이닝 데이터 정확도: 0.617188, 손실 함수(loss): 1.103472, 테스트 정확도: 0.572000
반복(Epoch): 1500, 트레이닝 데이터 정확도: 0.593750, 손실 함수(loss): 1.182766, 테스트 정확도: 0.598000
반복(Epoch): 1600, 트레이닝 데이터 정확도: 0.710938, 손실 함수(loss): 0.883828, 테스트 정확도: 0.588000
반복(Epoch): 1700, 트레이닝 데이터 정확도: 0.617188, 손실 함수(loss): 1.023920, 테스트 정확도: 0.594000
